Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-06-17 10:34:14.227, 

Snapshot Time Stamp, Data channel 1 (µm)
2022-06-17 11:45:38.373009,  351.92575
2022-06-17 11:45:38.382609,  351.92575
2022-06-17 11:45:38.392209,  351.92623
2022-06-17 11:45:38.401809,  351.92647
2022-06-17 11:45:38.411409,  351.92671
2022-06-17 11:45:38.421009,  351.92659
2022-06-17 11:45:38.430609,  351.92778
2022-06-17 11:45:38.440209,  351.92778
2022-06-17 11:45:38.449809,  351.92659
2022-06-17 11:45:38.459409,  351.92659
2022-06-17 11:45:38.469008,  351.92659
2022-06-17 11:45:38.478609,  351.92659
2022-06-17 11:45:38.488209,  351.92706
2022-06-17 11:45:38.497809,  351.92659
2022-06-17 11:45:38.507409,  351.92659
2022-06-17 11:45:38.517009,  351.92706
2022-06-17 11:45:38.526609,  351.92706
2022-06-17 11:45:38.536208,  351.92742
2022-06-17 11:45:38.545809,  351.92706
2022-06-17 11:45:38.555408,  351.92706
2022-06-17 11:45:38.565009,  351.92742
2022-06-17 11:45:38.574608,  351.92742
2022-06-17 11:45:38.584208,  351.92742
